अँग	a mq g a
बतलाएगी	b a t a l a aa ee g a ii
बतलाओ	b a t a l a aa o
बतलाना	b a t a l a aa n a aa
बतलाया	b a t a l a aa y a aa
बता	b a t a aa
बताई	b a t a aa ii
बताए	b a t a aa ee
बताएं	b a t a aa ee q
बताएंगे	b a t a aa ee q g a ee
बताओ	b a t a aa o
बताता	b a t a aa t a aa
बताती	b a t a aa t a ii
बताते	b a t a aa t a ee
बताना	b a t a aa n a aa
बताने	b a t a aa n a ee
बताया	b a t a aa y a aa
बतायी	b a t a aa y a ii
बताये	b a t a aa y a ee
बताशों	b a t a aa sh a o q
बतियातीं	b a t a i y a aa t a ii q
बतौर	b a t a ou r a
बत्तियों	b a t a t a i y a o q
बत्ती	b a t a t a ii
बत्तीस	b a t a t a ii s a
बदकिस्मत	b a d a k a i s a m a t a
बदन	b a d a n a
बदनवाला	b a d a n a w a aa l a aa
बदनसीब	b a d a n a s a ii b a
बदनाम	b a d a n a aa m a
बदनामी	b a d a n a aa m a ii
बदबू	b a d a b a uu
बदमाश	b a d a m a aa sh a
बदरंग	b a d a r a q g a
बदरी	b a d a r a ii
बदल	b a d a l a
बदलकर	b a d a l a k a r a
बदलता	b a d a l a t a aa
बदलती	b a d a l a t a ii
बदलते	b a d a l a t a ee
बदलना	b a d a l a n a aa
बदलनी	b a d a l a n a ii
बदलने	b a d a l a n a ee
बदला	b a d a l a aa
बदलाव	b a d a l a aa w a
बदलावों	b a d a l a aa w a o q
बदली	b a d a l a ii
बदले	b a d a l a ee
बदलेगा	b a d a l a ee g a aa
बदसलूकी	b a d a s a l a uu k a ii
बदहवास	b a d a h a w a aa s a
बदहाल	b a d a h a aa l a
बदी	b a d a ii
बद्री	b a d a r a ii
बद्सलूक	b a d a s a l a uu k a
बधोखा	b a dh a o kh a aa
बन	b a n a
बनकर	b a n a k a r a
बनता	b a n a t a aa
बनती	b a n a t a ii
बनते	b a n a t a ee
बनना	b a n a n a aa
बनने	b a n a n a ee
बनबिगड़	b a n a b a i g a dxq a
बनर्जी	b a n a r a j a ii
बनवाने	b a n a w a aa n a ee
बनवाया	b a n a w a aa y a aa
बना	b a n a aa
बनाई	b a n a aa ii
बनाए	b a n a aa ee
बनाएं	b a n a aa ee q
बनाएंगे	b a n a aa ee q g a ee
बनाएगा	b a n a aa ee g a aa
बनाकर	b a n a aa k a r a
बनाता	b a n a aa t a aa
बनाती	b a n a aa t a ii
बनाते	b a n a aa t a ee
बनाना	b a n a aa n a aa
बनानी	b a n a aa n a ii
बनाने	b a n a aa n a ee
बनाया	b a n a aa y a aa
बनायी	b a n a aa y a ii
बनायीं	b a n a aa y a ii q
बनाये	b a n a aa y a ee
बनायेँगे	b a n a aa y a ee mq g a ee
बनारस	b a n a aa r a s a
बनारसी	b a n a aa r a s a ii
बनारसीदास	b a n a aa r a s a ii d a aa s a
बनावट	b a n a aa w a tx a
बनावटी	b a n a aa w a tx a ii
बनावटीपन	b a n a aa w a tx a ii p a n a
बनास	b a n a aa s a
बनिस्बत	b a n a i s a b a t a
बनी	b a n a ii
बने	b a n a ee
बनेंगे	b a n a ee q g a ee
बनेगा	b a n a ee g a aa
बनेगी	b a n a ee g a ii
बनो	b a n a o
बन्द	b a n a d a
बन्दिनी	b a n a d a i n a ii
बन्दी	b a n a d a ii
बन्दूक	b a n a d a uu k a
बन्दे	b a n a d a ee
बन्धन	b a n a dh a n a
बन्नो	b a n a n a o
बपौती	b a p a ou t a ii
बबूल	b a b a uu l a
बम	b a m a
बम्बई	b a m a b a ii
बयाँ	b a y a aa mq
बयान	b a y a aa n a
बयार	b a y a aa r a
बयालीस	b a y a aa l a ii s a
बय्यर	b a y a y a r a
बरकरार	b a r a k a r a aa r a
बरख़ास्त	b a r a khq a aa s a t a
बरगद	b a r a g a d a
बरजा	b a r a j a aa
बरजिंद्रा	b a r a j a i q d a r a aa
बरतते	b a r a t a t a ee
बरतना	b a r a t a n a aa
बरतनी	b a r a t a n a ii
बरतने	b a r a t a n a ee
बरती	b a r a t a ii
बरनी	b a r a n a ii
बरबाद	b a r a b a aa d a
बरस	b a r a s a
बरसा	b a r a s a aa
बरसात	b a r a s a aa t a
बरसाने	b a r a s a aa n a ee
बरसाया	b a r a s a aa y a aa
बरसीं	b a r a s a ii q
बरसे	b a r a s a ee
बरसों	b a r a s a o q
बराबर	b a r a aa b a r a
बराबरी	b a r a aa b a r a ii
बरामदा	b a r a aa m a d a aa
बरामदानुमा	b a r a aa m a d a aa n a u m a aa
बरामदे	b a r a aa m a d a ee
बरार	b a r a aa r a
बरी	b a r a ii
बर्तन	b a r a t a n a
बर्तनों	b a r a t a n a o q
बर्ताव	b a r a t a aa w a
बर्दाश्त	b a r a d a aa sh a t a
बर्न	b a r a n a
बर्नले	b a r a n a l a ee
बर्नाडो	b a r a n a aa dx a o
बर्न्स	b a r a n a s a
बर्फ	b a r a ph a
बर्फबारी	b a r a ph a b a aa r a ii
बर्फ़	b a r a f a
बर्बर	b a r a b a r a
बर्बाद	b a r a b a aa d a
बर्बादी	b a r a b a aa d a ii
बर्मी	b a r a m a ii
बर्लिन	b a r a l a i n a
बल	b a l a
बलदेव	b a l a d a ee w a
बलप्रद	b a l a p a r a d a
बलराम	b a l a r a aa m a
बलवती	b a l a w a t a ii
बलवान	b a l a w a aa n a
बला	b a l a aa
बलात्कार	b a l a aa t a k a aa r a
बलात्कृत	b a l a aa t a k a rq t a
बलि	b a l a i
बलिदान	b a l a i d a aa n a
बलिभूमि	b a l a i bh a uu m a i
बलूचिस्तान	b a l a uu c a i s a t a aa n a
बलूत	b a l a uu t a
बलों	b a l a o q
बल्कि	b a l a k a i
बल्ब	b a l a b a
बल्ला	b a l a l a aa
बल्लू	b a l a l a uu
बल्लेबाज	b a l a l a ee b a aa j a
बल्लेबाजी	b a l a l a ee b a aa j a ii
बल्लेबाजों	b a l a l a ee b a aa j a o q
बल्लो	b a l a l a o
बवंडर	b a w a q dx a r a
बवेरिया	b a w a ee r a i y a aa
बस	b a s a
बसंत	b a s a q t a
बसअड्डे	b a s a a dx a dx a ee
बसती	b a s a t a ii
बसनेवाले	b a s a n a ee w a aa l a ee
बसपा	b a s a p a aa
बसस्टॉप	b a s a s a tx a p a
बसा	b a s a aa
बसानी	b a s a aa n a ii
बसी	b a s a ii
बसु	b a s a u
बसे	b a s a ee
बसोर	b a s a o r a
बस्ता	b a s a t a aa
बस्तियाँ	b a s a t a i y a aa mq
बस्तियां	b a s a t a i y a aa q
बस्तियों	b a s a t a i y a o q
बस्ती	b a s a t a ii
बह	b a h a
बहकती	b a h a k a t a ii
बहन	b a h a n a
बहनजी	b a h a n a j a ii
बहनभाई	b a h a n a bh a aa ii
बहने	b a h a n a ee
बहनें	b a h a n a ee q
बहनों	b a h a n a o q
बहर	b a h a r a
बहरहाल	b a h a r a h a aa l a
बहला	b a h a l a aa
बहलाता	b a h a l a aa t a aa
बहलाना	b a h a l a aa n a aa
बहस	b a h a s a
बहा	b a h a aa
बहाते	b a h a aa t a ee
बहादुर	b a h a aa d a u r a
बहादुरगढ़	b a h a aa d a u r a g a dxhq a
बहादुरी	b a h a aa d a u r a ii
बहाना	b a h a aa n a aa
बहाने	b a h a aa n a ee
बहार	b a h a aa r a
बहाल	b a h a aa l a
बहाली	b a h a aa l a ii
बहिन	b a h a i n a
बहिनों	b a h a i n a o q
बहिरङ्ग	b a h a i r a ng a g a
बहु	b a h a u
बहुत	b a h a u t a
बहुतसा	b a h a u t a s a aa
बहुतसी	b a h a u t a s a ii
बहुतसे	b a h a u t a s a ee
बहुतायत	b a h a u t a aa y a t a
बहुतेरे	b a h a u t a ee r a ee
बहुतों	b a h a u t a o q
बहुप्रतीक्षित	b a h a u p a r a t a ii k a sx a i t a
बहुमत	b a h a u m a t a
बहुमूल्य	b a h a u m a uu l a y a
बहुराष्ट्रीय	b a h a u r a aa sx a tx a r a ii y a
बहुलतावादी	b a h a u l a t a aa w a aa d a ii
बहू	b a h a uu
बहूबेटियों	b a h a uu b a ee tx a i y a o q
ब़ड़े	b a dxq a ee
बाँटकर	b a aa mq tx a k a r a
बाँदा	b a aa mq d a aa
बाँध	b a aa mq dh a
बाँधकर	b a aa mq dh a k a r a
बाँधता	b a aa mq dh a t a aa
बाँधे	b a aa mq dh a ee
बाँस	b a aa mq s a
बाँह	b a aa mq h a
बाँहें	b a aa mq h a ee q
बाँहों	b a aa mq h a o q
बांका	b a aa q k a aa
बांग	b a aa q g a
बांग्ला	b a aa q g a l a aa
बांचने	b a aa q c a n a ee
बांट	b a aa q tx a
बांटकर	b a aa q tx a k a r a
बांटना	b a aa q tx a n a aa
बांटा	b a aa q tx a aa
बांद्रा	b a aa q d a r a aa
बांध	b a aa q dh a
बांधकर	b a aa q dh a k a r a
बांधके	b a aa q dh a k a ee
बांधते	b a aa q dh a t a ee
बांधी	b a aa q dh a ii
बांस	b a aa q s a
बांसुरी	b a aa q s a u r a ii
बांह	b a aa q h a
बांहों	b a aa q h a o q
बाइंडिंग	b a aa i q dx a i q g a
बाइक	b a aa i k a
बाइट	b a aa i tx a
बाइबल	b a aa i b a l a
बाइस	b a aa i s a
बाई	b a aa ii
बाईं	b a aa ii q
बाईस	b a aa ii s a
बाऊजी	b a aa uu j a ii
बाएँ	b a aa ee mq
बाएं	b a aa ee q
बाक़ायदा	b a aa kq a aa y a d a aa
बाक़ी	b a aa kq a ii
बाकी	b a aa k a ii
बाकुनिन	b a aa k a u n a i n a
बाग	b a aa g a
बाग़	b a aa gq a
बाग़ी	b a aa gq a ii
बागियों	b a aa g a i y a o q
बागी	b a aa g a ii
बागीचा	b a aa g a ii c a aa
बागीचे	b a aa g a ii c a ee
बाघ	b a aa gh a
बाघराज	b a aa gh a r a aa j a
बाघिन	b a aa gh a i n a
बाजरा	b a aa j a r a aa
बाज़ार	b a aa z a aa r a
बाजा	b a aa j a aa
बाजार	b a aa j a aa r a
बाजारों	b a aa j a aa r a o q
बाजीराव	b a aa j a ii r a aa w a
बाजू	b a aa j a uu
बाजे	b a aa j a ee
बाटिक	b a aa tx a i k a
बाड़ा	b a aa dxq a aa
बाढ़	b a aa dxhq a
बाणों	b a aa nx a o q
बात	b a aa t a
बातचीत	b a aa t a c a ii t a
बाती	b a aa t a ii
बाते	b a aa t a ee
बातें	b a aa t a ee q
बातों	b a aa t a o q
बाथरूम	b a aa th a r a uu m a
बाद	b a aa d a
बादशाह	b a aa d a sh a aa h a
बाधा	b a aa dh a aa
बाधाऍं	b a aa dh a aa q
बाधाएं	b a aa dh a aa ee q
बाध्य	b a aa dh a y a
बाध्यकारी	b a aa dh a y a k a aa r a ii
बाध्यता	b a aa dh a y a t a aa
बानपुर	b a aa n a p a u r a
बानी	b a aa n a ii
बानो	b a aa n a o
बान्दिएरा	b a aa n a d a i ee r a aa
बाप	b a aa p a
बापू	b a aa p a uu
बाब	b a aa b a
बाबा	b a aa b a aa
बाबिलू	b a aa b a i l a uu
बाबी	b a aa b a ii
बाबुओं	b a aa b a u o q
बाबुल	b a aa b a u l a
बाबू	b a aa b a uu
बाबूजी	b a aa b a uu j a ii
बाबूभाई	b a aa b a uu bh a aa ii
बाबूराम	b a aa b a uu r a aa m a
बाबूलाल	b a aa b a uu l a aa l a
बाम	b a aa m a
बाम्बर	b a aa m a b a r a
बाय	b a aa y a
बायाँ	b a aa y a aa mq
बायें	b a aa y a ee q
बायोलॉजी	b a aa y a o l a j a ii
बार	b a aa r a
बारबार	b a aa r a b a aa r a
बारह	b a aa r a h a
बारहवीं	b a aa r a h a w a ii q
बारहवें	b a aa r a h a w a ee q
बारहसाढ़े	b a aa r a h a s a aa dxhq a ee
बारात	b a aa r a aa t a
बारादरी	b a aa r a aa d a r a ii
बारामदे	b a aa r a aa m a d a ee
बारिश	b a aa r a i sh a
बारी	b a aa r a ii
बारीक	b a aa r a ii k a
बारीक़	b a aa r a ii kq a
बारीकी	b a aa r a ii k a ii
बारूद	b a aa r a uu d a
बारे	b a aa r a ee
बार्कालोव	b a aa r a k a aa l a o w a
बार्डर	b a aa r a dx a r a
बाल	b a aa l a
बालक	b a aa l a k a
बालकिशन	b a aa l a k a i sh a n a
बालकिसुन	b a aa l a k a i s a u n a
बालकों	b a aa l a k a o q
बालचंद्र	b a aa l a c a q d a r a
बालपोथी	b a aa l a p a o th a ii
बालाजी	b a aa l a aa j a ii
बालिका	b a aa l a i k a aa
बालिग़	b a aa l a i gq a
बालुका	b a aa l a u k a aa
बालू	b a aa l a uu
बालों	b a aa l a o q
बाल्यकाल	b a aa l a y a k a aa l a
बावजूद	b a aa w a j a uu d a
बावर्ची	b a aa w a r a c a ii
बावुजूद	b a aa w a u j a uu d a
बाहर	b a aa h a r a
बाहरबाहर	b a aa h a r a b a aa h a r a
बाहरी	b a aa h a r a ii
बाह्यदर्शी	b a aa h a y a d a r a sh a ii
बिंदु	b a i q d a u
बिंद्रा	b a i q d a r a aa
बिंब	b a i q b a
बिकी	b a i k a ii
बिखर	b a i kh a r a
बिखरते	b a i kh a r a t a ee
बिखरा	b a i kh a r a aa
बिखराव	b a i kh a r a aa w a
बिखरी	b a i kh a r a ii
बिखेर	b a i kh a ee r a
बिग	b a i g a
बिगडऩे	b a i g a dx a ee
बिगड़	b a i g a dxq a
बिगड़ता	b a i g a dxq a t a aa
बिगड़ा	b a i g a dxq a aa
बिगड़ी	b a i g a dxq a ii
बिगाड़	b a i g a aa dxq a
बिगाड़े	b a i g a aa dxq a ee
बिगुल	b a i g a u l a
बिचका	b a i c a k a aa
बिचकाया	b a i c a k a aa y a aa
बिचारों	b a i c a aa r a o q
बिछड़ना	b a i ch a dxq a n a aa
बिछड़ने	b a i ch a dxq a n a ee
बिछाकर	b a i ch a aa k a r a
बिछाते	b a i ch a aa t a ee
बिछुडने	b a i ch a u dx a n a ee
बिछे	b a i ch a ee
बिछोह	b a i ch a o h a
बिजनेस	b a i j a n a ee s a
बिजऩेस	b a i j a ee s a
बिजली	b a i j a l a ii
बिज़नेस	b a i z a n a ee s a
बिजुबथान	b a i j a u b a th a aa n a
बिट	b a i tx a
बिटिया	b a i tx a i y a aa
बिठा	b a i txh a aa
बिठाकर	b a i txh a aa k a r a
बिठाया	b a i txh a aa y a aa
बिताई	b a i t a aa ii
बिताएगा	b a i t a aa ee g a aa
बिताने	b a i t a aa n a ee
बिताया	b a i t a aa y a aa
बिताये	b a i t a aa y a ee
बित्ते	b a i t a t a ee
बिनजन्मे	b a i n a j a n a m a ee
बिना	b a i n a aa
बिन्दु	b a i n a d a u
बिम्ब	b a i m a b a
बिम्बों	b a i m a b a o q
बिरंगे	b a i r a q g a ee
बिरसा	b a i r a s a aa
बिरादरी	b a i r a aa d a r a ii
बिल	b a i l a
बिलकुल	b a i l a k a u l a
बिलख	b a i l a kh a
बिलाई	b a i l a aa ii
बिलाशक	b a i l a aa sh a k a
बिलिकेरे	b a i l a i k a ee r a ee
बिल्कुल	b a i l a k a u l a
बिल्ली	b a i l a l a ii
बिशन	b a i sh a n a
बिसुन	b a i s a u n a
बिस्कुट	b a i s a k a u tx a
बिस्तर	b a i s a t a r a
बिस्तरे	b a i s a t a r a ee
बिस्मिल्ला	b a i s a m a i l a l a aa
बिस्मिल्लाह	b a i s a m a i l a l a aa h a
बिस्रामपुर	b a i s a r a aa m a p a u r a
बिहार	b a i h a aa r a
बिहारी	b a i h a aa r a ii
बिहू	b a i h a uu
बी	b a ii
बींध	b a ii q dh a
बीआईटी	b a ii aa ii tx a ii
बीएसई	b a ii ee s a ii
बीघे	b a ii gh a ee
बीच	b a ii c a
बीचबीच	b a ii c a b a ii c a
बीज	b a ii j a
बीजकोष	b a ii j a k a o sx a
बीजी	b a ii j a ii
बीजू	b a ii j a uu
बीजेपी	b a ii j a ee p a ii
बीजों	b a ii j a o q
बीड़ा	b a ii dxq a aa
बीत	b a ii t a
बीतता	b a ii t a t a aa
बीतते	b a ii t a t a ee
बीता	b a ii t a aa
बीती	b a ii t a ii
बीतीं	b a ii t a ii q
बीते	b a ii t a ee
बीतेगी	b a ii t a ee g a ii
बीफ	b a ii ph a
बीफार्मेसी	b a ii ph a aa r a m a ee s a ii
बीबी	b a ii b a ii
बीबीनाग	b a ii b a ii n a aa g a
बीमा	b a ii m a aa
बीमार	b a ii m a aa r a
बीमारियाँ	b a ii m a aa r a i y a aa mq
बीमारियां	b a ii m a aa r a i y a aa q
बीमारी	b a ii m a aa r a ii
बीरेन	b a ii r a ee n a
बीवी	b a ii w a ii
बीवीबच्चे	b a ii w a ii b a c a c a ee
बीस	b a ii s a
बीसवीं	b a ii s a w a ii q
बीसों	b a ii s a o q
बीस्कूलों	b a ii s a k a uu l a o q
बुआ	b a u aa
बुक	b a u k a
बुकानन	b a u k a aa n a n a
बुख़ार	b a u khq a aa r a
बुखार	b a u kh a aa r a
बुखेनवाल्ड	b a u kh a ee n a w a aa l a dx a
बुगती	b a u g a t a ii
बुजुर्ग	b a u j a u r a g a
बुजुर्गों	b a u j a u r a g a o q
बुझ	b a u jh a
बुझकर	b a u jh a k a r a
बुझने	b a u jh a n a ee
बुझा	b a u jh a aa
बुडानिया	b a u dx a aa n a i y a aa
बुड्ढा	b a u dx a dxh a aa
बुड्ढों	b a u dx a dxh a o q
बुढ़वन	b a u dxhq a w a n a
बुढ़ाई	b a u dxhq a aa ii
बुढ़ाना	b a u dxhq a aa n a aa
बुढ़ापा	b a u dxhq a aa p a aa
बुढ़ापे	b a u dxhq a aa p a ee
बुढ़िया	b a u dxhq a i y a aa
बुढ़ियों	b a u dxhq a i y a o q
बुढा़पा	b a u dxh a aa p a aa
बुढ्ढे	b a u dxh a dxh a ee
बुद्ध	b a u d a dh a
बुद्धत्व	b a u d a dh a t a w a
बुद्धदेव	b a u d a dh a d a ee w a
बुद्धवचन	b a u d a dh a w a c a n a
बुद्धामल	b a u d a dh a aa m a l a
बुद्धि	b a u d a dh a i
बुद्धिजीवियों	b a u d a dh a i j a ii w a i y a o q
बुद्धिमान	b a u d a dh a i m a aa n a
बुद्धिमान्	b a u d a dh a i m a aa n a
बुद्धों	b a u d a dh a o q
बुध	b a u dh a
बुधवार	b a u dh a w a aa r a
बुधिया	b a u dh a i y a aa
बुध्दिजीवी	b a u dh a d a i j a ii w a ii
बुनाई	b a u n a aa ii
बुनावट	b a u n a aa w a tx a
बुनियादी	b a u n a i y a aa d a ii
बुने	b a u n a ee
बुरहानपुर	b a u r a h a aa n a p a u r a
बुरा	b a u r a aa
बुराइयां	b a u r a aa i y a aa q
बुराई	b a u r a aa ii
बुरासा	b a u r a aa s a aa
बुरी	b a u r a ii
बुरीबुरी	b a u r a ii b a u r a ii
बुरे	b a u r a ee
बुर्केवाली	b a u r a k a ee w a aa l a ii
बुल	b a u l a
बुलंद	b a u l a q d a
बुलंदियों	b a u l a q d a i y a o q
बुलंदी	b a u l a q d a ii
बुलडोजर	b a u l a dx a o j a r a
बुलन्द	b a u l a n a d a
बुलबुलों	b a u l a b a u l a o q
बुलवा	b a u l a w a aa
बुलवाकर	b a u l a w a aa k a r a
बुलवाया	b a u l a w a aa y a aa
बुला	b a u l a aa
बुलाई	b a u l a aa ii
बुलाकर	b a u l a aa k a r a
बुलाता	b a u l a aa t a aa
बुलाते	b a u l a aa t a ee
बुलाने	b a u l a aa n a ee
बुलाया	b a u l a aa y a aa
बुलायी	b a u l a aa y a ii
बुलायेंगे	b a u l a aa y a ee q g a ee
बुलेट	b a u l a ee tx a
बुश	b a u sh a
बूँदें	b a uu mq d a ee q
बूंद	b a uu q d a
बूआजी	b a uu aa j a ii
बूझकर	b a uu jh a k a r a
बूट	b a uu tx a
बूटा	b a uu tx a aa
बूढ़ा	b a uu dxhq a aa
बूढ़ी	b a uu dxhq a ii
बूढ़े	b a uu dxhq a ee
बूढ़ों	b a uu dxhq a o q
बूढा	b a uu dxh a aa
बूढे	b a uu dxh a ee
बू़ढे	b a uu dxh a ee
बृहती	b a rq h a t a ii
बृहत्	b a rq h a t a
बृहस्पति	b a rq h a s a p a t a i
बॅटी	b a tx a ii
बॅले	b a l a ee
बॅलें	b a l a ee q
बे	b a ee
बेँच	b a ee mq c a
बेँत	b a ee mq t a
बेंच	b a ee q c a
बेंजामिन	b a ee q j a aa m a i n a
बेंत	b a ee q t a
बेआराम	b a ee aa r a aa m a
बेईमान	b a ee ii m a aa n a
बेऑनेट	b a ee ax n a ee tx a
बेकहैम	b a ee k a h a ei m a
बेकाबू	b a ee k a aa b a uu
बेकार	b a ee k a aa r a
बेख़बर	b a ee khq a b a r a
बेगम	b a ee g a m a
बेग़म	b a ee gq a m a
बेगानापन	b a ee g a aa n a aa p a n a
बेगानेपन	b a ee g a aa n a ee p a n a
बेगार	b a ee g a aa r a
बेच	b a ee c a
बेचता	b a ee c a t a aa
बेचते	b a ee c a t a ee
बेचने	b a ee c a n a ee
बेचारा	b a ee c a aa r a aa
बेचारी	b a ee c a aa r a ii
बेचारे	b a ee c a aa r a ee
बेचैन	b a ee c a ei n a
बेचैनी	b a ee c a ei n a ii
बेजोड़	b a ee j a o dxq a
बेझिझक	b a ee jh a i jh a k a
बेटरीनऱी	b a ee tx a r a ii n a ii
बेटा	b a ee tx a aa
बेटियां	b a ee tx a i y a aa q
बेटियों	b a ee tx a i y a o q
बेटी	b a ee tx a ii
बेटे	b a ee tx a ee
बेठन	b a ee txh a n a
बेड	b a ee dx a
बेड़े	b a ee dxq a ee
बेढंग	b a ee dxh a q g a
बेढंगा	b a ee dxh a q g a aa
बेतकल्लुफ़ी	b a ee t a k a l a l a u f a ii
बेतरतीब	b a ee t a r a t a ii b a
बेताब	b a ee t a aa b a
बेतुकी	b a ee t a u k a ii
बेथोवन	b a ee th a o w a n a
बेदखल	b a ee d a kh a l a
बेदी	b a ee d a ii
बेधड़	b a ee dh a dxq a
बेनकाब	b a ee n a k a aa b a
बेनजीर	b a ee n a j a ii r a
बेनामी	b a ee n a aa m a ii
बेनीपुरी	b a ee n a ii p a u r a ii
बेनीफिट	b a ee n a ii ph a i tx a
बेनेर	b a ee n a ee r a
बेपनाह	b a ee p a n a aa h a
बेपरवाह	b a ee p a r a w a aa h a
बेबाक	b a ee b a aa k a
बेमतलब	b a ee m a t a l a b a
बेमन	b a ee m a n a
बेमुर	b a ee m a u r a
बेरा	b a ee r a aa
बेरिलियम	b a ee r a i l a i y a m a
बेरुख़े	b a ee r a u khq a ee
बेरोजगारी	b a ee r a o j a g a aa r a ii
बेरोजागारी	b a ee r a o j a aa g a aa r a ii
बेलग्रेड	b a ee l a g a r a ee dx a
बेला	b a ee l a aa
बेलाज	b a ee l a aa j a
बेल्जियन	b a ee l a j a i y a n a
बेल्जियम	b a ee l a j a i y a m a
बेवकूफ	b a ee w a k a uu ph a
बेशर्म	b a ee sh a r a m a
बेशुमार	b a ee sh a u m a aa r a
बेस	b a ee s a
बेसन	b a ee s a n a
बेसमेंट	b a ee s a m a ee q tx a
बेसहारा	b a ee s a h a aa r a aa
बेसुरा	b a ee s a u r a aa
बेसो	b a ee s a o
बेह	b a ee h a
बेहतर	b a ee h a t a r a
बेहद	b a ee h a d a
बेहनोई	b a ee h a n a o ii
बेहया	b a ee h a y a aa
बेहाल	b a ee h a aa l a
बेहूदा	b a ee h a uu d a aa
बेहूदे	b a ee h a uu d a ee
बेहोश	b a ee h a o sh a
बैंक	b a ei q k a
बैंकिंग	b a ei q k a i q g a
बैंकों	b a ei q k a o q
बैंगन	b a ei q g a n a
बैंड	b a ei q dx a
बैइस	b a ei i s a
बैकग्राउंड	b a ei k a g a r a aa u q dx a
बैकुंठ	b a ei k a u q txh a
बैग	b a ei g a
बैजू	b a ei j a uu
बैटरी	b a ei tx a r a ii
बैठ	b a ei txh a
बैठक	b a ei txh a k a
बैठकर	b a ei txh a k a r a
बैठकों	b a ei txh a k a o q
बैठता	b a ei txh a t a aa
बैठती	b a ei txh a t a ii
बैठते	b a ei txh a t a ee
बैठने	b a ei txh a n a ee
बैठा	b a ei txh a aa
बैठिए	b a ei txh a i ee
बैठी	b a ei txh a ii
बैठीं	b a ei txh a ii q
बैठे	b a ei txh a ee
बैठेंगे	b a ei txh a ee q g a ee
बैठेबैठे	b a ei txh a ee b a ei txh a ee
बैठो	b a ei txh a o
बैनर	b a ei n a r a
बैन्च	b a ei n a c a
बैर	b a ei r a
बैरिस्टर	b a ei r a i s a tx a r a
बैरे	b a ei r a ee
बैल	b a ei l a
बैलगाड़ियां	b a ei l a g a aa dxq a i y a aa q
बैलगाड़ियों	b a ei l a g a aa dxq a i y a o q
बैलने	b a ei l a n a ee
बैलिस्टिक्स	b a ei l a i s a tx a i k a s a
बैलों	b a ei l a o q
बॉक्स	b a k a s a
बॉटम	b a tx a m a
बॉटल	b a tx a l a
बॉडी	b a dx a ii
बॉब	b a b a
बॉबी	b a b a ii
बॉम्बे	b a m a b a ee
बॉयकॉट	b a y a k a tx a
बॉयज़	b a y a z a
बॉर्डर	b a r a dx a r a
बॉल	b a l a
बॉलर	b a l a r a
बॉलीवुड	b a l a ii w a u dx a
बॉल्कनी	b a l a k a n a ii
बॉस	b a s a
बोइंग	b a o i q g a
बोकारो	b a o k a aa r a o
बोझ	b a o jh a
बोझसा	b a o jh a s a aa
बोझिल	b a o jh a i l a
बोटिंग	b a o tx a i q g a
बोतल	b a o t a l a
बोतलें	b a o t a l a ee q
बोध	b a o dh a
बोधगम्य	b a o dh a g a m a y a
बोधिमण्ड	b a o dh a i m a nx a dx a
बोम्बे	b a o m a b a ee
बोया	b a o y a aa
बोर	b a o r a
बोर्ड	b a o r a dx a
बोर्डबैनर	b a o r a dx a b a ei n a r a
बोर्डे	b a o r a dx a ee
बोल	b a o l a
बोलकर	b a o l a k a r a
बोलचाल	b a o l a c a aa l a
बोलता	b a o l a t a aa
बोलती	b a o l a t a ii
बोलते	b a o l a t a ee
बोलना	b a o l a n a aa
बोलने	b a o l a n a ee
बोला	b a o l a aa
बोली	b a o l a ii
बोलीं	b a o l a ii q
बोले	b a o l a ee
बोलेअतः	b a o l a ee a t a hq
बोलेआपकी	b a o l a ee aa p a k a ii
बोलेआम	b a o l a ee aa m a
बोलेगा	b a o l a ee g a aa
बोलो	b a o l a o
बोलोमैं	b a o l a o m a ei q
बोल्ड	b a o l a dx a
बोस	b a o s a
बोसेली	b a o s a ee l a ii
बोहरों	b a o h a r a o q
बौखला	b a ou kh a l a aa
बौखलाया	b a ou kh a l a aa y a aa
बौद्ध	b a ou d a dh a
बौद्धमठ	b a ou d a dh a m a txh a
बौद्धिक	b a ou d a dh a i k a
बौना	b a ou n a aa
बौने	b a ou n a ee
ब्याज	b a y a aa j a
ब्याया	b a y a aa y a aa
ब्याह	b a y a aa h a
ब्याहने	b a y a aa h a n a ee
ब्यूरो	b a y a uu r a o
ब्यूरोक्रेसी	b a y a uu r a o k a r a ee s a ii
ब्यौरों	b a y a ou r a o q
ब्रश	b a r a sh a
ब्रह्म	b a r a h a m a
ब्रह्मदेव	b a r a h a m a d a ee w a
ब्रह्मपुत्र	b a r a h a m a p a u t a r a
ब्रह्मवादी	b a r a h a m a w a aa d a ii
ब्रह्मा	b a r a h a m a aa
ब्रह्माक्षर	b a r a h a m a aa k a sx a r a
ब्रांच	b a r a aa q c a
ब्रांड	b a r a aa q dx a
ब्राज़ीली	b a r a aa z a ii l a ii
ब्राजील	b a r a aa j a ii l a
ब्राजीली	b a r a aa j a ii l a ii
ब्रायन	b a r a aa y a n a
ब्राह्मण	b a r a aa h a m a nx a
ब्राह्मणों	b a r a aa h a m a nx a o q
ब्रिगेड	b a r a i g a ee dx a
ब्रिगेडियर	b a r a i g a ee dx a i y a r a
ब्रिटानी	b a r a i tx a aa n a ii
ब्रिटिश	b a r a i tx a i sh a
ब्रिटेन	b a r a i tx a ee n a
