<HI> अँग	a mq g a
<GU> શંકાસ્પદ	sh a q k a aa s a p a d a
<GU> શંખ	sh a q kh a
<GU> શંભુનું	sh a q bh a u n a u q
<GU> શંભુપ્રસાદ	sh a q bh a u p a r a s a aa d a
<GU> શકતા	sh a k a t a aa
<GU> શકતાં	sh a k a t a aa q
<GU> શકતી	sh a k a t a ii
<GU> શકતું	sh a k a t a u q
<GU> શકતો	sh a k a t a o
<GU> શકમંદ	sh a k a m a q d a
<GU> શકયા	sh a k a y a aa
<GU> શકયું	sh a k a y a u q
<GU> શકયો	sh a k a y a o
<GU> શકવર્તી	sh a k a w a r a t a ii
<GU> શકવા	sh a k a w a aa
<GU> શકવામાં	sh a k a w a aa m a aa q
<GU> શકશે	sh a k a sh a ee
<GU> શકશો	sh a k a sh a o
<GU> શકાઇ	sh a k a aa i
<GU> શકાતાં	sh a k a aa t a aa q
<GU> શકાય	sh a k a aa y a
<GU> શકાશે	sh a k a aa sh a ee
<GU> શકી	sh a k a ii
<GU> શકીએ	sh a k a ii ee
<GU> શકીશ	sh a k a ii sh a
<GU> શકીશું	sh a k a ii sh a u q
<GU> શકું	sh a k a u q
<GU> શકે	sh a k a ee
<GU> શક્કરિયું	sh a k a k a r a i y a u q
<GU> શક્તિ	sh a k a t a i
<GU> શક્તિઓ	sh a k a t a i o
<GU> શક્તિઓને	sh a k a t a i o n a ee
<GU> શક્તિથી	sh a k a t a i th a ii
<GU> શક્તિના	sh a k a t a i n a aa
<GU> શક્તિની	sh a k a t a i n a ii
<GU> શક્તિનું	sh a k a t a i n a u q
<GU> શક્તિને	sh a k a t a i n a ee
<GU> શક્તિનો	sh a k a t a i n a o
<GU> શક્તિશાળી	sh a k a t a i sh a aa lx a ii
<GU> શક્ય	sh a k a y a
<GU> શક્યતા	sh a k a y a t a aa
<GU> શક્યતાઓથી	sh a k a y a t a aa o th a ii
<GU> શક્યતાઓનાં	sh a k a y a t a aa o n a aa q
<GU> શક્યા	sh a k a y a aa
<GU> શક્યાં	sh a k a y a aa q
<GU> શક્યું	sh a k a y a u q
<GU> શક્યો	sh a k a y a o
<GU> શખસો	sh a kh a s a o
<GU> શચીન્દ્રનાથ	sh a c a ii n a d a r a n a aa th a
<GU> શણ	sh a nx a
<GU> શણગાર	sh a nx a g a aa r a
<GU> શણની	sh a nx a n a ii
<GU> શતદ્રુ	sh a t a d a r a u
<GU> શતરંજફલક	sh a t a r a q j a ph a l a k a
<GU> શતરૂપા	sh a t a r a uu p a aa
<GU> શતાબ્દી	sh a t a aa b a d a ii
<GU> શતાબ્દીથી	sh a t a aa b a d a ii th a ii
<GU> શતાવરીનું	sh a t a aa w a r a ii n a u q
<GU> શત્રુ	sh a t a r a u
<GU> શત્રુઓ	sh a t a r a u o
<GU> શત્રુના	sh a t a r a u n a aa
<GU> શન	sh a n a
<GU> શફીની	sh a ph a ii n a ii
<GU> શબનમ	sh a b a n a m a
<GU> શબની	sh a b a n a ii
<GU> શબને	sh a b a n a ee
<GU> શબ્દ	sh a b a d a
<GU> શબ્દનો	sh a b a d a n a o
<GU> શબ્દશઃ	sh a b a d a sh a hq
<GU> શબ્દાવલિ	sh a b a d a aa w a l a i
<GU> શબ્દો	sh a b a d a o
<GU> શબ્દોનો	sh a b a d a o n a o
<GU> શબ્દોમાં	sh a b a d a o m a aa q
<GU> શમિતા	sh a m a i t a aa
<GU> શમી	sh a m a ii
<GU> શરણં	sh a r a nx a q
<GU> શરણંમમનો	sh a r a nx a q m a m a n a o
<GU> શરત	sh a r a t a
<GU> શરતચંદ્ર	sh a r a t a c a q d a r a
<GU> શરતોને	sh a r a t a o n a ee
<GU> શરદ	sh a r a d a
<GU> શરદના	sh a r a d a n a aa
<GU> શરદપૂનમે	sh a r a d a p a uu n a m a ee
<GU> શરમ	sh a r a m a
<GU> શરમભરી	sh a r a m a bh a r a ii
<GU> શરાફીનું	sh a r a aa ph a ii n a u q
<GU> શરાફો	sh a r a aa ph a o
<GU> શરીર	sh a r a ii r a
<GU> શરીરથી	sh a r a ii r a th a ii
<GU> શરીરના	sh a r a ii r a n a aa
<GU> શરીરનાં	sh a r a ii r a n a aa q
<GU> શરીરની	sh a r a ii r a n a ii
<GU> શરીરનું	sh a r a ii r a n a u q
<GU> શરીરને	sh a r a ii r a n a ee
<GU> શરીરનો	sh a r a ii r a n a o
<GU> શરીરમાં	sh a r a ii r a m a aa q
<GU> શરીરે	sh a r a ii r a ee
<GU> શરુ	sh a r a u
<GU> શરૂ	sh a r a uu
<GU> શરૂઆત	sh a r a uu aa t a
<GU> શરૂઆતથી	sh a r a uu aa t a th a ii
<GU> શરૂઆતના	sh a r a uu aa t a n a aa
<GU> શરૂઆતનાં	sh a r a uu aa t a n a aa q
<GU> શરૂઆતમાં	sh a r a uu aa t a m a aa q
<GU> શરૂના	sh a r a uu n a aa
<GU> શરૂવાત	sh a r a uu w a aa t a
<GU> શરૃ	sh a r a
<GU> શરૃઆત	sh a r a aa t a
<GU> શરૃઆતમાં	sh a r a aa t a m a aa q
<GU> શર્કરા	sh a r a k a r a aa
<GU> શર્કરાઓનું	sh a r a k a r a aa o n a u q
<GU> શર્કરાનું	sh a r a k a r a aa n a u q
<GU> શર્મા	sh a r a m a aa
<GU> શશાંક	sh a sh a aa q k a
<GU> શશી	sh a sh a ii
<GU> શસ્ત્ર	sh a s a t a r a
<GU> શસ્ત્રક્રિયા	sh a s a t a r a k a r a i y a aa
<GU> શસ્ત્રોમાં	sh a s a t a r a o m a aa q
<GU> શહેર	sh a h a ee r a
<GU> શહેરથી	sh a h a ee r a th a ii
<GU> શહેરના	sh a h a ee r a n a aa
<GU> શહેરની	sh a h a ee r a n a ii
<GU> શહેરનું	sh a h a ee r a n a u q
<GU> શહેરને	sh a h a ee r a n a ee
<GU> શહેરમાં	sh a h a ee r a m a aa q
<GU> શહેરી	sh a h a ee r a ii
<GU> શહેરીકરણની	sh a h a ee r a ii k a r a nx a n a ii
<GU> શહેરીજનો	sh a h a ee r a ii j a n a o
<GU> શહેરો	sh a h a ee r a o
<GU> શહેરોએ	sh a h a ee r a o ee
<GU> શહેરોના	sh a h a ee r a o n a aa
<GU> શહેરોમાં	sh a h a ee r a o m a aa q
<GU> શહેરોમાંજ	sh a h a ee r a o m a aa q j a
<GU> શા	sh a aa
<GU> શાંઘાઇ	sh a aa q gh a aa i
<GU> શાંત	sh a aa q t a
<GU> શાંતારામની	sh a aa q t a aa r a aa m a n a ii
<GU> શાંતિ	sh a aa q t a i
<GU> શાંતિચાહના	sh a aa q t a i c a aa h a n a aa
<GU> શાંતિથી	sh a aa q t a i th a ii
<GU> શાઓ	sh a aa o
<GU> શાકભાજી	sh a aa k a bh a aa j a ii
<GU> શાકભાજીમાં	sh a aa k a bh a aa j a ii m a aa q
<GU> શાકુન્તલ	sh a aa k a u n a t a l a
<GU> શાખ	sh a aa kh a
<GU> શાખસર્જન	sh a aa kh a s a r a j a n a
<GU> શાખા	sh a aa kh a aa
<GU> શાખાઓ	sh a aa kh a aa o
<GU> શાખાઓના	sh a aa kh a aa o n a aa
<GU> શાખાઓવાળી	sh a aa kh a aa o w a aa lx a ii
<GU> શાખાના	sh a aa kh a aa n a aa
<GU> શાખાનું	sh a aa kh a aa n a u q
<GU> શાખાને	sh a aa kh a aa n a ee
<GU> શાખિત	sh a aa kh a i t a
<GU> શાતકર્ણિને	sh a aa t a k a r a nx a i n a ee
<GU> શાદી	sh a aa d a ii
<GU> શાનદાર	sh a aa n a d a aa r a
<GU> શાન્તિલાલ	sh a aa n a t a i l a aa l a
<GU> શાફ્ટના	sh a aa ph a tx a n a aa
<GU> શામેલ	sh a aa m a ee l a
<GU> શારીરિક	sh a aa r a ii r a i k a
<GU> શાળા	sh a aa lx a aa
<GU> શાળાએ	sh a aa lx a aa ee
<GU> શાળાઓ	sh a aa lx a aa o
<GU> શાળાઓનો	sh a aa lx a aa o n a o
<GU> શાળાઓમાં	sh a aa lx a aa o m a aa q
<GU> શાળાકોલેજો	sh a aa lx a aa k a o l a ee j a o
<GU> શાળાના	sh a aa lx a aa n a aa
<GU> શાળામાં	sh a aa lx a aa m a aa q
<GU> શાળાસંકુલની	sh a aa lx a aa s a q k a u l a n a ii
<GU> શાસક	sh a aa s a k a
<GU> શાસન	sh a aa s a n a
<GU> શાસનનો	sh a aa s a n a n a o
<GU> શાસનમાં	sh a aa s a n a m a aa q
<GU> શાસિત	sh a aa s a i t a
<GU> શાસ્ત્ર	sh a aa s a t a r a
<GU> શાસ્ત્રજ્ઞાન	sh a aa s a t a r a j a nj a aa n a
<GU> શાસ્ત્રની	sh a aa s a t a r a n a ii
<GU> શાસ્ત્રવાચક	sh a aa s a t a r a w a aa c a k a
<GU> શાસ્ત્રાજ્ઞાથી	sh a aa s a t a r a aa j a nj a aa th a ii
<GU> શાસ્ત્રી	sh a aa s a t a r a ii
<GU> શાસ્ત્રીય	sh a aa s a t a r a ii y a
<GU> શાસ્ત્રો	sh a aa s a t a r a o
<GU> શાસ્ત્રોનો	sh a aa s a t a r a o n a o
<GU> શાસ્ત્રોમાં	sh a aa s a t a r a o m a aa q
<GU> શાહ	sh a aa h a
<GU> શાહજહાં	sh a aa h a j a h a aa q
<GU> શાહરુખ	sh a aa h a r a u kh a
<GU> શાહરુખે	sh a aa h a r a u kh a ee
<GU> શાહરૂખ	sh a aa h a r a uu kh a
<GU> શાહિદ	sh a aa h a i d a
<GU> શાહુકારનો	sh a aa h a u k a aa r a n a o
<GU> શિંગડું	sh a i q g a dx a u q
<GU> શિકાર	sh a i k a aa r a
<GU> શિકારીને	sh a i k a aa r a ii n a ee
<GU> શિક્ષક	sh a i k a sx a k a
<GU> શિક્ષકદિન	sh a i k a sx a k a d a i n a
<GU> શિક્ષકદિનની	sh a i k a sx a k a d a i n a n a ii
<GU> શિક્ષકના	sh a i k a sx a k a n a aa
<GU> શિક્ષકની	sh a i k a sx a k a n a ii
<GU> શિક્ષકને	sh a i k a sx a k a n a ee
<GU> શિક્ષકોને	sh a i k a sx a k a o n a ee
<GU> શિક્ષણ	sh a i k a sx a nx a
<GU> શિક્ષણના	sh a i k a sx a nx a n a aa
<GU> શિક્ષણની	sh a i k a sx a nx a n a ii
<GU> શિક્ષણને	sh a i k a sx a nx a n a ee
<GU> શિક્ષણનો	sh a i k a sx a nx a n a o
<GU> શિક્ષણમાં	sh a i k a sx a nx a m a aa q
<GU> શિક્ષા	sh a i k a sx a aa
<GU> શિક્ષાત્મક	sh a i k a sx a aa t a m a k a
<GU> શિક્ષાપત્રીના	sh a i k a sx a aa p a t a r a ii n a aa
<GU> શિક્ષિત	sh a i k a sx a i t a
<GU> શિખર	sh a i kh a r a
<GU> શિખરની	sh a i kh a r a n a ii
<GU> શિડ્યુલ	sh a i dx a y a u l a
<GU> શિપ	sh a i p a
<GU> શિફ્ટની	sh a i ph a tx a n a ii
<GU> શિમલા	sh a i m a l a aa
<GU> શિયાળા	sh a i y a aa lx a aa
<GU> શિરડીમાં	sh a i r a dx a ii m a aa q
<GU> શિલ્પ	sh a i l a p a
<GU> શિલ્પકાર	sh a i l a p a k a aa r a
<GU> શિલ્પમાં	sh a i l a p a m a aa q
<GU> શિલ્પા	sh a i l a p a aa
<GU> શિલ્પી	sh a i l a p a ii
<GU> શિલ્પીએ	sh a i l a p a ii ee
<GU> શિવ	sh a i w a
<GU> શિવગૌરી	sh a i w a g a ou r a ii
<GU> શિવજી	sh a i w a j a ii
<GU> શિવજીની	sh a i w a j a ii n a ii
<GU> શિવજીનું	sh a i w a j a ii n a u q
<GU> શિવપુરાણમાં	sh a i w a p a u r a aa nx a m a aa q
<GU> શિવપૂજાનું	sh a i w a p a uu j a aa n a u q
<GU> શિવરાજ	sh a i w a r a aa j a
<GU> શિવરાત્રી	sh a i w a r a aa t a r a ii
<GU> શિવલાલ	sh a i w a l a aa l a
<GU> શિવલિંગનું	sh a i w a l a i q g a n a u q
<GU> શિવલિંગનો	sh a i w a l a i q g a n a o
<GU> શિવસેનાના	sh a i w a s a ee n a aa n a aa
<GU> શિવાયના	sh a i w a aa y a n a aa
<GU> શિવાયનો	sh a i w a aa y a n a o
<GU> શિવાલય	sh a i w a aa l a y a
<GU> શિવાલયોમાં	sh a i w a aa l a y a o m a aa q
<GU> શિવેન્દ્રસિંઘે	sh a i w a ee n a d a r a s a i q gh a ee
<GU> શિશ્ન	sh a i sh a n a
<GU> શિષ્ટતા	sh a i sx a tx a t a aa
<GU> શિષ્ય	sh a i sx a y a
<GU> શિષ્યને	sh a i sx a y a n a ee
<GU> શિષ્યવૃત્તિમાં	sh a i sx a y a w a t a t a i m a aa q
<GU> શિષ્યોની	sh a i sx a y a o n a ii
<GU> શિસ્ત	sh a i s a t a
<GU> શી	sh a ii
<GU> શીંગદાણા	sh a ii q g a d a aa nx a aa
<GU> શીંગના	sh a ii q g a n a aa
<GU> શીકામાં	sh a ii k a aa m a aa q
<GU> શીખ	sh a ii kh a
<GU> શીખતો	sh a ii kh a t a o
<GU> શીખનાર	sh a ii kh a n a aa r a
<GU> શીખવાની	sh a ii kh a w a aa n a ii
<GU> શીખી	sh a ii kh a ii
<GU> શીખે	sh a ii kh a ee
<GU> શીખ્યાં	sh a ii kh a y a aa q
<GU> શીખ્યો	sh a ii kh a y a o
<GU> શીજી	sh a ii j a ii
<GU> શીડયુલ	sh a ii dx a y a u l a
<GU> શીત	sh a ii t a
<GU> શીતલ	sh a ii t a l a
<GU> શીતળ	sh a ii t a lx a
<GU> શીતવીર્ય	sh a ii t a w a ii r a y a
<GU> શીર્ષ	sh a ii r a sx a
<GU> શીલ	sh a ii l a
<GU> શીલપ્રજ્ઞ	sh a ii l a p a r a j a nj a
<GU> શીલા	sh a ii l a aa
<GU> શીશીઓમાં	sh a ii sh a ii o m a aa q
<GU> શુ	sh a u
<GU> શું	sh a u q
<GU> શુકલ	sh a u k a l a
<GU> શુકાણુને	sh a u k a aa nx a u n a ee
<GU> શુક્ર	sh a u k a r a
<GU> શુક્રકોષો	sh a u k a r a k a o sx a o
<GU> શુક્રનીતિ	sh a u k a r a n a ii t a i
<GU> શુક્રપિંડ	sh a u k a r a p a i q dx a
<GU> શુક્રવારે	sh a u k a r a w a aa r a ee
<GU> શુક્રાણુમાંથી	sh a u k a r a aa nx a u m a aa q th a ii
<GU> શુક્રાશય	sh a u k a r a aa sh a y a
<GU> શુક્લ	sh a u k a l a
<GU> શુદ્ધ	sh a u d a dh a
<GU> શુદ્ર	sh a u d a r a
<GU> શુભ	sh a u bh a
<GU> શુભકામનાઓ	sh a u bh a k a aa m a n a aa o
<GU> શુભારંભ	sh a u bh a aa r a q bh a
<GU> શુભ્રથી	sh a u bh a r a th a ii
<GU> શુશ્રુષા	sh a u sh a r a u sx a aa
<GU> શુષ્ક	sh a u sx a k a
<GU> શૂએરૂઈને	sh a uu ee r a uu ii n a ee
<GU> શૂટિંગ	sh a uu tx a i q g a
<GU> શૂન્ય	sh a uu n a y a
<GU> શૂન્યાતામાં	sh a uu n a y a aa t a aa m a aa q
<GU> શૂભ	sh a uu bh a
<GU> શૂરવીરતાનો	sh a uu r a w a ii r a t a aa n a o
<GU> શૂળીએ	sh a uu lx a ii ee
<GU> શૃંગ	sh a q g a
<GU> શૃંગેથી	sh a q g a ee th a ii
<GU> શૅર	sh a r a
<GU> શેકના	sh a ee k a n a aa
<GU> શેકસ્પિયરના	sh a ee k a s a p a i y a r a n a aa
<GU> શેકહેન્ડ	sh a ee k a h a ee n a dx a
<GU> શેખ	sh a ee kh a
<GU> શેખને	sh a ee kh a n a ee
<GU> શેખાવતની	sh a ee kh a aa w a t a n a ii
<GU> શેટ્ટી	sh a ee tx a tx a ii
<GU> શેટ્ટીએ	sh a ee tx a tx a ii ee
<GU> શેઠ	sh a ee txh a
<GU> શેઠની	sh a ee txh a n a ii
<GU> શેઠનું	sh a ee txh a n a u q
<GU> શેઠને	sh a ee txh a n a ee
<GU> શેઠશ્રી	sh a ee txh a sh a r a ii
<GU> શેઠાણી	sh a ee txh a aa nx a ii
<GU> શેઠાણીના	sh a ee txh a aa nx a ii n a aa
<GU> શેઠાણીને	sh a ee txh a aa nx a ii n a ee
<GU> શેડ	sh a ee dx a
<GU> શેન	sh a ee n a
<GU> શેની	sh a ee n a ii
<GU> શેબા	sh a ee b a aa
<GU> શેમ્પેઈનની	sh a ee m a p a ee ii n a n a ii
<GU> શેર	sh a ee r a
<GU> શેરએબાંગ્લા	sh a ee r a ee b a aa q g a l a aa
<GU> શેરડા	sh a ee r a dx a aa
<GU> શેરડી	sh a ee r a dx a ii
<GU> શેરડીનું	sh a ee r a dx a ii n a u q
<GU> શેરદીઠ	sh a ee r a d a ii txh a
<GU> શેરનાં	sh a ee r a n a aa q
<GU> શેરનું	sh a ee r a n a u q
<GU> શેરબજારના	sh a ee r a b a j a aa r a n a aa
<GU> શેરબજારની	sh a ee r a b a j a aa r a n a ii
<GU> શેરબજારમાં	sh a ee r a b a j a aa r a m a aa q
<GU> શેરભંડોળ	sh a ee r a bh a q dx a o lx a
<GU> શેરશાહ	sh a ee r a sh a aa h a
<GU> શેરહોલ્ડરોનો	sh a ee r a h a o l a dx a r a o n a o
<GU> શેરિંગ	sh a ee r a i q g a
<GU> શેરી	sh a ee r a ii
<GU> શેરીઓમાં	sh a ee r a ii o m a aa q
<GU> શેરો	sh a ee r a o
<GU> શેરોને	sh a ee r a o n a ee
<GU> શેલાન્ડરની	sh a ee l a aa n a dx a r a n a ii
<GU> શૈંલ્લ	sh a ei q l a l a
<GU> શૈક્ષણિક	sh a ei k a sx a nx a i k a
<GU> શૈલનું	sh a ei l a n a u q
<GU> શૈલી	sh a ei l a ii
<GU> શૈલીના	sh a ei l a ii n a aa
<GU> શૈલીમાં	sh a ei l a ii m a aa q
<GU> શૈલેષભાઈનો	sh a ei l a ee sx a bh a aa ii n a o
<GU> શૈવ	sh a ei w a
<GU> શૈવાલ	sh a ei w a aa l a
<GU> શૉ	sh a
<GU> શૉટ	sh a tx a
<GU> શો	sh a o
<GU> શોએબ	sh a o ee b a
<GU> શોકને	sh a o k a n a ee
<GU> શોખ	sh a o kh a
<GU> શોખને	sh a o kh a n a ee
<GU> શોખીનો	sh a o kh a ii n a o
<GU> શોટ	sh a o tx a
<GU> શોથ	sh a o th a
<GU> શોધ	sh a o dh a
<GU> શોધક	sh a o dh a k a
<GU> શોધકે	sh a o dh a k a ee
<GU> શોધખોળો	sh a o dh a kh a o lx a o
<GU> શોધખોળોએ	sh a o dh a kh a o lx a o ee
<GU> શોધતા	sh a o dh a t a aa
<GU> શોધતાં	sh a o dh a t a aa q
<GU> શોધનાર	sh a o dh a n a aa r a
<GU> શોધવા	sh a o dh a w a aa
<GU> શોધવાનો	sh a o dh a w a aa n a o
<GU> શોધવામાં	sh a o dh a w a aa m a aa q
<GU> શોધવી	sh a o dh a w a ii
<GU> શોધવો	sh a o dh a w a o
<GU> શોધી	sh a o dh a ii
<GU> શોધ્યું	sh a o dh a y a u q
<GU> શોપિંગ	sh a o p a i q g a
<GU> શોભતાં	sh a o bh a t a aa q
<GU> શોષણ	sh a o sx a nx a
<GU> શોષતું	sh a o sx a t a u q
<GU> શોષની	sh a o sx a n a ii
<GU> શોષાઈ	sh a o sx a aa ii
<GU> શૌન	sh a ou n a
<GU> શૌરી	sh a ou r a ii
<GU> શ્યામ	sh a y a aa m a
<GU> શ્રદ્ધા	sh a r a d a dh a aa
<GU> શ્રદ્ધાંજલિ	sh a r a d a dh a aa q j a l a i
<GU> શ્રદ્ધાના	sh a r a d a dh a aa n a aa
<GU> શ્રમજીવી	sh a r a m a j a ii w a ii
<GU> શ્રમદળનાં	sh a r a m a d a lx a n a aa q
<GU> શ્રવણ	sh a r a w a nx a
<GU> શ્રવસ્તીને	sh a r a w a s a t a ii n a ee
<GU> શ્રાદ્ધ	sh a r a aa d a dh a
<GU> શ્રાવણના	sh a r a aa w a nx a n a aa
<GU> શ્રાવણ્	sh a r a aa w a nx a
<GU> શ્રાવ્ય	sh a r a aa w a y a
<GU> શ્રી	sh a r a ii
<GU> શ્રીઅરવિંદ	sh a r a ii a r a w a i q d a
<GU> શ્રીકાંતે	sh a r a ii k a aa q t a ee
<GU> શ્રીકૃષ્ણ	sh a r a ii k a sx a nx a
<GU> શ્રીકૃષ્ણની	sh a r a ii k a sx a nx a n a ii
<GU> શ્રીકૃષ્ણનું	sh a r a ii k a sx a nx a n a u q
<GU> શ્રીકૃષ્ણને	sh a r a ii k a sx a nx a n a ee
<GU> શ્રીકૃષ્ણે	sh a r a ii k a sx a nx a ee
<GU> શ્રીચૈતન્ય	sh a r a ii c a ei t a n a y a
<GU> શ્રીનગર	sh a r a ii n a g a r a
<GU> શ્રીનિવાસન	sh a r a ii n a i w a aa s a n a
<GU> શ્રીમંત	sh a r a ii m a q t a
<GU> શ્રીમતી	sh a r a ii m a t a ii
<GU> શ્રીમદે	sh a r a ii m a d a ee
<GU> શ્રીમદ્ની	sh a r a ii m a d a n a ii
<GU> શ્રીલંકન	sh a r a ii l a q k a n a
<GU> શ્રીલંકા	sh a r a ii l a q k a aa
<GU> શ્રીલંકાએ	sh a r a ii l a q k a aa ee
<GU> શ્રીલંકાને	sh a r a ii l a q k a aa n a ee
<GU> શ્રીલંકાનો	sh a r a ii l a q k a aa n a o
<GU> શ્રીલંકામાં	sh a r a ii l a q k a aa m a aa q
<GU> શ્રીસંત	sh a r a ii s a q t a
<GU> શ્રીસંતની	sh a r a ii s a q t a n a ii
<GU> શ્રીસંતને	sh a r a ii s a q t a n a ee
<GU> શ્રીહરિકોટાના	sh a r a ii h a r a i k a o tx a aa n a aa
<GU> શ્રૃંગાર	sh a r a q g a aa r a
<GU> શ્રૃંગી	sh a r a q g a ii
<GU> શ્રેઢી	sh a r a ee dxh a ii
<GU> શ્રેણી	sh a r a ee nx a ii
<GU> શ્રેણીએ	sh a r a ee nx a ii ee
<GU> શ્રેણીનો	sh a r a ee nx a ii n a o
<GU> શ્રેણીમાં	sh a r a ee nx a ii m a aa q
<GU> શ્રેણીમાંથી	sh a r a ee nx a ii m a aa q th a ii
<GU> શ્રેય	sh a r a ee y a
<GU> શ્રેયસભાઈ	sh a r a ee y a s a bh a aa ii
<GU> શ્રેયા	sh a r a ee y a aa
<GU> શ્રેષ્ઠ	sh a r a ee sx a txh a
<GU> શ્રેષ્ઠતમ	sh a r a ee sx a txh a t a m a
<GU> શ્રોણિ	sh a r a o nx a i
<GU> શ્રોતાઓ	sh a r a o t a aa o
<GU> શ્રોતાઓના	sh a r a o t a aa o n a aa
<GU> શ્રોફે	sh a r a o ph a ee
<GU> શ્લેષમાં	sh a l a ee sx a m a aa q
<GU> શ્લોક	sh a l a o k a
<GU> શ્વસન	sh a w a s a n a
<GU> શ્વસુર	sh a w a s a u r a
<GU> શ્વાંગની	sh a w a aa q g a n a ii
<GU> શ્વાન	sh a w a aa n a
<GU> શ્વાનોમાં	sh a w a aa n a o m a aa q
<GU> શ્વાસ	sh a w a aa s a
<GU> શ્વાસની	sh a w a aa s a n a ii
<GU> શ્વાસમાં	sh a w a aa s a m a aa q
<GU> શ્વેત	sh a w a ee t a
<GU> શ્વેતપત્ર	sh a w a ee t a p a t a r a
<GU> સંકટ	s a q k a tx a
<GU> સંકડામણમાં	s a q k a dx a aa m a nx a m a aa q
<GU> સંકલન	s a q k a l a n a
<GU> સંકલનના	s a q k a l a n a n a aa
<GU> સંકલનમાં	s a q k a l a n a m a aa q
<GU> સંકળાયેલા	s a q k a lx a aa y a ee l a aa
<GU> સંકળાયેલાં	s a q k a lx a aa y a ee l a aa q
<GU> સંકળાયેલી	s a q k a lx a aa y a ee l a ii
<GU> સંકીર્ણતાના	s a q k a ii r a nx a t a aa n a aa
<GU> સંકુચિત	s a q k a u c a i t a
<GU> સંકુચિતતા	s a q k a u c a i t a t a aa
<GU> સંકુલ	s a q k a u l a
<GU> સંકુલમાંથી	s a q k a u l a m a aa q th a ii
<GU> સંકેત	s a q k a ee t a
<GU> સંકેતથી	s a q k a ee t a th a ii
<GU> સંકેતવિજ્ઞાન	s a q k a ee t a w a i j a nj a aa n a
<GU> સંકેતો	s a q k a ee t a o
<GU> સંકેતોની	s a q k a ee t a o n a ii
<GU> સંકેન્દ્રિતતા	s a q k a ee n a d a r a i t a t a aa
<GU> સંકેલાઈ	s a q k a ee l a aa ii
<GU> સંકોચ	s a q k a o c a
<GU> સંકોચન	s a q k a o c a n a
<GU> સંકોચો	s a q k a o c a o
<GU> સંક્રાંન્તિ	s a q k a r a aa q n a t a i
<GU> સંક્ષેપમાં	s a q k a sx a ee p a m a aa q
<GU> સંખ્યા	s a q kh a y a aa
<GU> સંખ્યાઓના	s a q kh a y a aa o n a aa
<GU> સંખ્યાબંધ	s a q kh a y a aa b a q dh a
<GU> સંખ્યામાં	s a q kh a y a aa m a aa q
<GU> સંગકારા	s a q g a k a aa r a aa
<GU> સંગઠન	s a q g a txh a n a
<GU> સંગઠનના	s a q g a txh a n a n a aa
<GU> સંગઠનને	s a q g a txh a n a n a ee
<GU> સંગઠનો	s a q g a txh a n a o
<GU> સંગઠનોની	s a q g a txh a n a o n a ii
<GU> સંગાકારા	s a q g a aa k a aa r a aa
<GU> સંગાકારાને	s a q g a aa k a aa r a aa n a ee
<GU> સંગાથી	s a q g a aa th a ii
<GU> સંગાથે	s a q g a aa th a ee
<GU> સંગીત	s a q g a ii t a
<GU> સંગીતકાર	s a q g a ii t a k a aa r a
<GU> સંગીતકારો	s a q g a ii t a k a aa r a o
<GU> સંગીતની	s a q g a ii t a n a ii
<GU> સંગીતમાં	s a q g a ii t a m a aa q
<GU> સંગુટિકારમ	s a q g a u tx a i k a aa r a m a
<GU> સંગ્રહ	s a q g a r a h a
<GU> સંગ્રહની	s a q g a r a h a n a ii
<GU> સંગ્રહાલમાં	s a q g a r a h a aa l a m a aa q
<GU> સંગ્રહી	s a q g a r a h a ii
<GU> સંગ્રામમાં	s a q g a r a aa m a m a aa q
<GU> સંઘ	s a q gh a
<GU> સંઘના	s a q gh a n a aa
<GU> સંઘની	s a q gh a n a ii
<GU> સંઘનું	s a q gh a n a u q
<GU> સંઘને	s a q gh a n a ee
<GU> સંઘપતિને	s a q gh a p a t a i n a ee
<GU> સંઘરી	s a q gh a r a ii
<GU> સંઘર્ષ	s a q gh a r a sx a
<GU> સંઘર્ષના	s a q gh a r a sx a n a aa
<GU> સંઘર્ષને	s a q gh a r a sx a n a ee
<GU> સંઘર્ષો	s a q gh a r a sx a o
<GU> સંઘાત	s a q gh a aa t a
<GU> સંઘાતના	s a q gh a aa t a n a aa
<GU> સંચયન	s a q c a y a n a
<GU> સંચાર	s a q c a aa r a
<GU> સંચાલક	s a q c a aa l a k a
<GU> સંચાલકની	s a q c a aa l a k a n a ii
<GU> સંચાલકો	s a q c a aa l a k a o
<GU> સંચાલકોને	s a q c a aa l a k a o n a ee
<GU> સંચાલન	s a q c a aa l a n a
<GU> સંચાલનમાં	s a q c a aa l a n a m a aa q
<GU> સંચાલિત	s a q c a aa l a i t a
<GU> સંચિત	s a q c a i t a
<GU> સંજના	s a q j a n a aa
<GU> સંજય	s a q j a y a
<GU> સંજયે	s a q j a y a ee
<GU> સંજોગમાં	s a q j a o g a m a aa q
<GU> સંજોગો	s a q j a o g a o
<GU> સંજોગોની	s a q j a o g a o n a ii
<GU> સંજોગોમાં	s a q j a o g a o m a aa q
<GU> સંજોગોમાંથી	s a q j a o g a o m a aa q th a ii
<GU> સંજ્ઞા	s a q j a nj a aa
<GU> સંજ્ઞાઓ	s a q j a nj a aa o
<GU> સંજ્ઞાની	s a q j a nj a aa n a ii
<GU> સંજ્ઞાનો	s a q j a nj a aa n a o
